Restaurant;Type de restaurant;Catégorie du restaurant;Adresse;Code postal;Commune;Code Insee de la Commune;latitude;longitude;Conctact-téléphone-fixe;Adresse e-Mail;Url du site web;Plateforme/url.;Animal_accepté;Service(s) proposé(s) sur l'équipement;Langue(s) parlée(s) à l'accueil;Horaires d'ouvertures;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
Auberge du Pont de Sorges;Restaurant;Cuisine traditionnelle;23 rue Camille Perdriau;49130;LES PONTS-DE-CE;49246;47.43064;-0.47252;02 41 69 02 86;aubergedupontdesorges@wanadoo.fr;http://www.auberge-du-pont-de-sorges.fr/;Facebook||https://www.facebook.com/aubergedupontdesorges/;oui;Chaise haute / Réhausseur,Plats à emporter,Service en terrasse,Traiteur;Français;"09/06/2021||31/12/2021||||||||||||||12:15||13:30||||||12:15||13:30||||||12:15||13:30||||||12:15||13:30||19:15||20:45||12:15||13:30||19:15||20:45||12:15||13:30|||| ; 01/01/2022||31/12/2022||||||||||||||12:15||13:30||||||12:15||13:30||||||12:15||13:30||||||12:15||13:30||19:15||20:45||12:15||13:30||19:15||20:45||12:15||13:30|||| ; 01/01/2023||31/12/2023||||||||||||||12:15||13:30||||||12:15||13:30||||||12:15||13:30||||||12:15||13:30||19:15||20:45||12:15||13:30||19:15||20:45||12:15||13:30|||| ; 01/01/2024||31/12/2024||||||||||||||||||||||12:15||13:30||||||12:15||13:30||||||12:15||13:30||19:15||20:45||12:15||13:30||19:15||20:45||12:15||13:30||||";;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.43064, -0.47252;Maine-et-Loire
AUBERGE DU PORT DOMINO;Restaurant;Cuisine traditionnelle;55 Port Domino;44330;LE PALLET;44117;47.1395488;-1.3583659;954549234;contact@aubergeduportdomino.fr;https://www.aubergeduportdomino.fr/;;oui;Plats à emporter,Traiteur,WiFi;Anglais,Français;22/04/2024||31/12/2024||||||||||||||09:00||16:00||||||09:00||16:00||||||09:00||22:00||||||09:00||16:00||19:30||22:00||||||||||||||||;"Menu adulte du jour (midi en semaine)||26,00||26,00||Menu entrée-plat-dessert ; Plats à la carte||13,00||16,00||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.1395488, -1.3583659;Loire-Atlantique
Auberge du Tire Bouchon;Hôtel restaurant;Cuisine traditionnelle;34 rue de la Vallée du Hâvre;44521;COUFFE;44048;47.3897375;-1.2958131;02 40 96 54 39;contact@aubergedutirebouchon.com;http://www.aubergedutirebouchon.com;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g1753324-d8001680-Reviews-Auberge_Du_Tire_Bouchon-Couffe_Loire_Atlantique_Pays_de_la_Loire.html ;oui;Banquet,Plats à emporter,WiFi;Anglais,Français;||||||||||||||||||||||||08:00||14:00||||||08:00||14:00||||||08:00||14:00||19:00||21:00||09:00||14:00||19:00||21:00||09:00||14:00||||;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.3897375, -1.2958131;Loire-Atlantique
Auberge Le Nézil;Restaurant;Cuisine traditionnelle;Le Nézyl;44410;SAINT-LYPHARD;44175;47.37153;-2.32605;02 40 91 41 41;aubergelenezil.stlyphard@gmail.com;https://auberge-le-nezyl-saint-lyphard.eatbu.com/;;oui;Service en terrasse,WiFi;Anglais;"01/01/2024||31/12/2024||Fermeture du 1/03 au 14/03||||||||||||||||||||12:30||13:30||19:30||20:30||12:30||13:30||19:30||20:30||12:30||13:30||19:30||20:30||12:30||13:30||19:30||20:30|||||||| ; 01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||12:30||13:30||||";Menu adulte du jour (midi en semaine)||44,00||47,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.37153, -2.32605;Loire-Atlantique
AUBERGE SAINT ROCH;Hôtel restaurant;Cuisine traditionnelle;1 Place de l'Église;53700;AVERTON;53013;48.3315517;-0.2235949;02 43 32 57 51;auberge-st-roch@outlook.fr;https://www.aubergesaintroch.com/;;oui;Banquet,Plats à emporter,Séminaire,Traiteur;Anglais,Espagnol,Français;"20/08/2024||30/09/2024||||||||||||||||||||||10:00||21:00||||||10:00||21:00||||||10:00||21:00||||||10:00||21:00||||||10:00||14:30|||| ; 01/10/2024||31/03/2025||||||||||||||||||||||10:00||14:30||18:30||22:00||10:00||14:30||18:30||22:00||10:00||14:30||18:30||22:00||10:00||14:30||18:30||22:00||10:00||14:30|||| ; 01/04/2025||30/09/2025||||||||||||||||||||||10:00||21:30||||||10:00||21:30||||||10:00||21:30||||||10:00||21:30||||||10:00||14:30|||| ; 01/10/2025||31/03/2026||||||||||||||||||||||10:00||14:30||18:30||22:00||10:00||14:30||18:30||22:00||10:00||14:30||18:30||22:00||10:00||14:30||18:30||22:00||10:00||14:30|||| ; 01/04/2026||30/09/2026||||||||||||||||||||||10:00||21:30||||||10:00||21:30||||||10:00||21:30||||||10:00||21:30||||||10:00||14:30||||";;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.3315517, -0.2235949;Mayenne
Auroy de la pizza, la boutique;Restaurant;Pizzeria;39 place du marché;49260;MONTREUIL-BELLAY;49215;47.132392;-0.156015;06 30 32 29 50;auroydelapizza@gmail.com;https://auroydelapizza-foodtruck.eatbu.com;Facebook||https://www.facebook.com/profile.php?id=100062921695418;oui;Plats à emporter;Français;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires;47.132392, -0.156015;Maine-et-Loire
AUX 4 CHATS - CAFÉ COUR;Restaurant;Salon de thé;1, L'Ebeaupin;44690;MAISDON-SUR-SEVRE;44088;47.1218491;-1.4124282;02 40 80 96 60;marie.pom@laposte.net;;;oui;Service en terrasse;Anglais,Français;"14/04/2024||11/11/2024||Tous les dimanches|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 10/05/2024||13/09/2024||vendredi-dimanche|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 15/06/2024||07/09/2024||vendredi-samedi-dimanche||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.1218491, -1.4124282;Loire-Atlantique
Aux Deux 5;Restaurant;Brasserie;13 place Vasco de Gama;49800;TRELAZE;49353;47.45286;-0.46803;02 41 69 16 01;auxdeux5@sfr.fr;https://m.facebook.com/Aux-Deux-5-332578016952795/?locale2=fr_FR;Facebook||https://m.facebook.com/Aux-Deux-5-332578016952795/?locale2=fr_FR;oui;Climatisation,Plats à emporter,Service en terrasse;Anglais,Français;"04/01/2021||31/12/2021||||||11:00||13:30||||||11:00||13:30||||||11:00||13:30||||||11:00||13:30||||||11:00||13:30|||||||||||||||||||| ; 04/01/2022||31/12/2022||||||11:00||13:30||||||11:00||13:30||||||11:00||13:30||||||11:00||13:30||||||11:00||13:30||||||||||||||||||||";;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.45286, -0.46803;Maine-et-Loire
AUX P'TITS JOUEURS;Restaurant;Bistrot / bar à vin;23 rue du Port Guichard;44000;NANTES;44109;47.2320077;-1.544704;02 40 74 09 87;;;Facebook||https://www.facebook.com/ptitsjoueurs;oui;Banquet,Plats à emporter,Séminaire,Service en terrasse,WiFi;Anglais,Français;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2320077, -1.544704;Loire-Atlantique
AUX TONNEAUX;Restaurant;Cuisine traditionnelle;5 place Pierre Sémard;44600;SAINT-NAZAIRE;44184;47.2851214;-2.211347;02 40 66 16 32;;https://www.restaurant-aux-tonneaux.com/;Facebook||https://www.facebook.com/auxtonneaux/;oui;Service en terrasse;Anglais,Français;01/01/2024||31/12/2024||Ouvert du mardi au dimanche||Fermé le lundi||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00;"Menu enfant||7,50|||| ; Menu adulte du jour (midi en semaine)||11,00||15,50|| ; Menu adulte soir et week-end||||22,50||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.2851214, -2.211347;Loire-Atlantique
BAR  BRASSERIE DES HALLES;Restaurant;Brasserie;Place Carnot;72600;MAMERS;72180;48.3506202;0.3694332;02 43 97 60 06;;;;oui;Service en terrasse;Tout;;;Cartes bancaires,Chèques bancaires et postaux;48.3506202, 0.3694332;Sarthe
Bar / Snack La Sittelle;Restaurant;Cuisine traditionnelle;Place Hector Vincent;72540;LOUE;72168;47.997151;-0.147776;09 88 55 52 21;ajdilletlasittelle@gmail.com;https://www.camping-la-sittelle.fr/;Facebook||https://www.facebook.com/campinglasittelle/;oui;Banquet,Plats à emporter,Séminaire,Service en terrasse;Français;01/01/2024||31/12/2025||||||09:00||13:30||15:30||22:00||09:00||13:30||15:30||22:00||09:00||13:30||15:30||22:00||09:00||13:30||15:30||22:00||09:00||13:30||15:30||22:00||09:00||13:30||15:30||22:00||09:00||13:30||15:30||22:00;Menu adulte soir et week-end||12,00||||;Cartes bancaires,Espèces;47.997151, -0.147776;Sarthe
BAR A VIN & CAVE A MANGER L'UN DES SENS;Restaurant;Bistrot / bar à vin;9 rue du docteur Leroy;72000;LE MANS;72181;48.0028206;0.1959744;02 43 80 94 81;;;Facebook||https://www.facebook.com/baravinscaveamangerlundesSens ;non;Service en terrasse,WiFi;Anglais,Français,Italien;||||||||||||||||10:00||15:00||17:00||23:00||10:00||15:00||17:00||23:00||10:00||15:00||17:00||23:00||10:00||15:00||17:00||23:00||||||12:00||23:00||||||||;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;48.0028206, 0.1959744;Sarthe
BAR BRASSERIE LA SANGUEZE;Restaurant;Brasserie;77 place de la Vendée;44330;MOUZILLON;44108;47.1398135;-1.2816554;02 28 03 64 80;lasangueze@gmail.com;https://www.lasangueze.fr/restaurant;;oui;Banquet,Climatisation,Plats à emporter,Service en terrasse,Traiteur,WiFi;Anglais,Français;01/01/2023||31/12/2024||||||11:30||14:00||||||11:30||14:00||||||11:30||14:00||||||11:30||14:00||||||11:30||14:00||19:00||22:00||||||||||||||||;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.1398135, -1.2816554;Loire-Atlantique
Bar l'Alcyon;Restaurant;Général;19 allée des Pétrels;44500;LA BAULE-ESCOUBLAC;44055;47.28509;-2.39588;02 40 60 19 37;info@alcyon-hotel.com;http://www.alcyon-hotel.com;;oui;;Tout;;;Tout;47.28509, -2.39588;Loire-Atlantique
Bar Le Canotier;Restaurant;Restauration rapide;5 descente de la Croix Rouge;49160;GENNES-VAL-DE-LOIRE;49261;47.309766;-0.144236;06 69 41 27 04;info@canoes.fr;http://www.canoes.fr;Facebook||https://www.facebook.com/Cano%C3%ABs-Danjou-207975256071195/;oui;Service en terrasse;Anglais,Français;15/04/2024||30/09/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Tout;47.309766, -0.144236;Maine-et-Loire
Bar restaurant - Le Quin'Cé;Restaurant;Général;37 avenue du Général de Gaulle;44500;LA BAULE-ESCOUBLAC;44055;47.28313;-2.39213;02 51 16 24 60;contact@le-quince.com;https://www.le-quince.com/;;oui;Séminaire,Service en terrasse,WiFi;Anglais,Espagnol;01/01/2024||31/12/2024||Ouvert tous les jours pendant les vacances scolaires||||||||||||||||||||09:30||01:00||||||09:30||01:00||||||||||||||||||||||||||||;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.28313, -2.39213;Loire-Atlantique
Bar-Restaurant Chez Nous;Restaurant;Cuisine traditionnelle;3 route de l'estran;44410;ASSERAC;44006;47.42557;-2.45567;02 51 10 20 54;cheznous.penbe@gmail.com;;;oui;Service en terrasse;Tout;"23/09/2024||19/10/2024||||||||||||||||||||||10:00||22:00||||||10:00||22:00||||||10:00||22:00||||||10:00||22:00||||||10:00||22:00|||| ; 21/10/2024||03/11/2024||||||10:00||21:00||||||10:00||21:00||||||10:00||21:00||||||10:00||21:00||||||||||||||||||||||10:00||19:00||||";;Cartes bancaires,Espèces;47.42557, -2.45567;Loire-Atlantique
Barapom;Restaurant;Crêperie;2 quai Jules Sandeau;44510;LE POULIGUEN;44135;47.27814;-2.42842;02 40 42 17 60;;http://www.barapom.com;;oui;;Tout;;;Tout;47.27814, -2.42842;Loire-Atlantique
Bchef;Restaurant;Restauration rapide;15 place de la Bilange;49400;SAUMUR;49328;47.260368;-0.078109;02 41 59 37 30;;;;oui;;Français;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Tout;47.260368, -0.078109;Maine-et-Loire
Beer's Brothers;Restaurant;Général;3 Rue de la Prée Neuve;44350;GUERANDE;44069;47.32548;-2.40714;02 49 52 29 71;beersbrothers44@gmail.com;;;oui;Service en terrasse;Tout;;;Tout;47.32548, -2.40714;Loire-Atlantique
Bel Air Plage;Restaurant;Restauration rapide;150 avenue de Bonne Source;44380;PORNICHET;44132;47.24831;-2.32372;02 40 61 10 78;lwingtans20@gmail.com;http://www.belairpornichet.fr;;oui;;Tout;01/07/2022||31/08/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Tout;47.24831, -2.32372;Loire-Atlantique
BISTROT BAR A VIN LE BAR A VIN;Restaurant;Bistrot / bar à vin;3 rue du Cornet;72000;LE MANS;72181;48.0044763;0.195685;02 43 23 37 31;lebaravin72@bbox.fr;;;oui;;Anglais;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;48.0044763, 0.195685;Sarthe
Bistrot de la Poissonnerie;Restaurant;Brasserie;Quai de la Petite Chambre;44490;LE CROISIC;44049;47.29434;-2.51064;02 40 60 55 71;;;;oui;;Tout;;;Tout;47.29434, -2.51064;Loire-Atlantique
Bières é chopes;Restaurant;Brasserie;3 allée des Cèdres;44380;PORNICHET;44132;47.25578;-2.31607;09 80 34 64 04;pornichet@bieres-et-chopes.fr;https://www.bieres-et-chopes.fr/pornichet-4.html;;oui;WiFi;Anglais;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.25578, -2.31607;Loire-Atlantique
Boire du Bon - Caviste et bar à vin;Restaurant;Bistrot / bar à vin;2 rue du Monnet;72190;SAINT-PAVACE;72310;48.0380158;0.18817122;;contact@boiredubon.com;https://boiredubon.com/;Facebook||https://www.facebook.com/BoireduBon72/?locale=fr_FR;oui;;Tout;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||11:00||13:00||17:00||23:30||11:00||13:00||17:00||23:30||11:00||13:00||17:00||21:00;;Tout;48.0380158, 0.18817122;Sarthe
BOUCHERIE CHARCUTERIE CERISIER;Général;Général;18 Grande Rue;53150;MONTSURS;53161;48.134987;-0.553804;02 43 01 00 61;charly.cerisier@orange.fr;;;oui;Banquet,Plats à emporter,Séminaire,Traiteur;Tout;||||||||||||||||08:30||12:30||15:00||19:00||08:30||12:30||||||08:30||12:30||15:00||19:00||08:30||12:30||15:00||19:00||09:00||12:30||15:00||18:00||09:00||12:15||||;;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.134987, -0.553804;Mayenne
BRASSERIE CREPERIE LA CANTINE;Restaurant;Brasserie;37, rue Garnier;53200;CHATEAU-GONTIER-SUR-MAYENNE;53062;47.8231642;-0.7070678;02 43 12 21 59;lacantinechateaugontier53@orange.fr;;Facebook||https://fr-fr.facebook.com/brasserielacantine ;oui;Service en terrasse,WiFi;Anglais,Français;;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.8231642, -0.7070678;Mayenne
Brasserie de l'Académie;Restaurant;Brasserie;7 place de l'Académie;49100;ANGERS;49007;47.46765;-0.5589;02 41 87 35 48;restaurantbar.lacademie@gmail.com;;Facebook||https://www.facebook.com/lacademie.angers/ ;oui;Chaise haute / Réhausseur,Plats à emporter,Service en terrasse;Anglais,Espagnol,Français;02/01/2024||31/12/2024||||||08:30||15:00||||||08:30||15:00||||||08:30||15:00||||||08:30||18:30||||||08:30||18:30||||||08:30||14:30||||||||||||;;Cartes bancaires,Espèces,Tickets Restaurant;47.46765, -0.5589;Maine-et-Loire
BRASSERIE LA CASA;Restaurant;Brasserie;530, rue de Terre Rouge;53200;CHATEAU-GONTIER-SUR-MAYENNE;53062;47.8316984;-0.6842894;02 43 12 61 99;contact@lacasa53.fr;;Facebook||https://www.facebook.com/brasserielacasa53/ ;oui;Plats à emporter,Service en terrasse,WiFi;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.8316984, -0.6842894;Mayenne
BRASSERIE LE GRAND BLEU;Restaurant;Cuisine traditionnelle;Centre commercial Intermarché;44210;PORNIC;44131;47.11085;-2.0693;02 51 74 12 84;leclairvoyant@orange.fr;;;oui;;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.11085, -2.0693;Loire-Atlantique
Brasserie Le Moulin;Restaurant;Brasserie;24 rue Robert Schuman - CC Super U (Les Courtils);49310;LYS-HAUT-LAYON;49373;47.14636;-0.52033;02 41 75 00 75;sarl-magatis@orange.fr;;Facebook||https://www.facebook.com/LeMoulin.BarBrasserie/;oui;Bon cadeau,Chaise haute / Réhausseur,Climatisation,Service en terrasse;Anglais,Français;01/01/2024||31/12/2024||||||08:30||19:30||||||08:30||19:30||||||08:30||19:30||||||08:30||19:30||||||08:30||19:30||||||08:30||16:30||||||||||||;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.14636, -0.52033;Maine-et-Loire
Brasserie Le Planty;Restaurant;Brasserie;Centre Commercial Super U;49600;BEAUPREAU-EN-MAUGES;49023;47.2105774;-0.9854489;02 41 58 68 15;;;;non;;Tout;01/01/2024||31/12/2024||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||||||||;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2105774, -0.9854489;Maine-et-Loire
Brasserie Le Win's;Restaurant;Brasserie;4 place du Chapeau du Gendarme;49000;ANGERS;49007;47.451889;-0.555642;02 41 79 85 97;lewins@orange.fr;https://lewins.metro.rest/?lang=fr;Facebook||https://www.facebook.com/lewinsangers ;oui;Plats à emporter,Service en terrasse;Anglais,Français;01/01/2023||31/12/2023||||||07:30||19:30||||||07:30||19:30||||||07:30||19:30||||||07:30||19:30||||||07:30||19:30||||||08:00||15:00||||||||||||;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.451889, -0.555642;Maine-et-Loire
BRUT - BAR A VINS;Restaurant;Bistrot / bar à vin;12 place Fournil;44190;GETIGNE;44063;47.0757979;-1.2497649;02 40 13 25 57;restaurant.brut.getigne@gmail.com;https://www.facebook.com/restaurant.brut.getigne/;Facebook||https://www.facebook.com/restaurant.brut.getigne ;non;Plats à emporter,Séminaire,Service en terrasse,WiFi;Anglais,Espagnol,Français;;;Cartes bancaires,Espèces,Tickets Restaurant,Virement;47.0757979, -1.2497649;Loire-Atlantique
BUFFALO GRILL;Restaurant;Cuisine traditionnelle;Rue du Général Patton;44110;CHATEAUBRIANT;44036;47.7039866;-1.3940138;02 40 07 23 76;;;;oui;Service en terrasse,WiFi;Tout;||||||ouvert 7 jours/7||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Menu adulte du jour (midi en semaine)||8,50||15,50||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.7039866, -1.3940138;Loire-Atlantique
Bulots Mayo;Restaurant;Général;2 rue du Centre;44510;LE POULIGUEN;44135;47.27747;-2.42917;02 51 75 40 55;bulotsmayo@gmail.com;;;oui;;Tout;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires,Espèces;47.27747, -2.42917;Loire-Atlantique
CAFE FOLK;Restaurant;Salon de thé;9 rue du Cornet;72000;LE MANS;72181;48.004982;0.19537925;02 43 24 41 33;cafe.folk.lemans@gmail.com;https://www.facebook.com/cafefolklemans/;;oui;Plats à emporter,Service en terrasse;Tout;;;Tout;48.004982, 0.19537925;Sarthe
CAFE RESTAURANT CHEZ MICHEL;Restaurant;Cuisine traditionnelle;2 PLACE DU MAQUIS DE SAFFRE;44170;NOZAY;44113;47.5655262;-1.6271691;02 40 79 31 96;;;;oui;;Français;;;Tout;47.5655262, -1.6271691;Loire-Atlantique
Café Bianca;Restaurant;Restauration rapide;1b rue du Vieux Marché;44350;GUERANDE;44069;47.32776;-2.42758;02 53 19 33 43;gianasso.magdaleina@hotmail.fr;;;oui;;Tout;;;Cartes bancaires,Espèces;47.32776, -2.42758;Loire-Atlantique
Café de la Presse;Général;Restauration rapide;18/20 place de la République;72140;SILLE-LE-GUILLAUME;72334;48.1832462;-0.1293351;02 43 20 10 08;;;;oui;Plats à emporter,Service en terrasse;Français;;;Cartes bancaires,Tickets Restaurant;48.1832462, -0.1293351;Sarthe
Café des Sports;Restaurant;Général;8 place Dinan;44490;LE CROISIC;44049;47.29316;-2.50997;02 40 23 01 27;cafedessports@orange.fr;;;oui;Service en terrasse;Tout;;;Tout;47.29316, -2.50997;Loire-Atlantique
